player_id,name,club,position,price,status,xmins,xpts_gw1,xpts_gw2,xpts_gw3,xpts_gw4,xpts_gw5,xpts_gw6,xpts_gw7,xpts_gw8
2498,Patrik Wålemark,Lech Poznań,MID,2.3,ok,85.0,9.2,7.6,9.0,7.3,8.9,6.4,8.9,6.5
2733,Luis Palma,Lech Poznań,MID,3.5,ok,85.0,7.8,6.5,7.6,6.2,7.5,5.5,7.5,5.6
1475,Mikael Ishak,Lech Poznań,FWD,4.0,ok,85.0,7.7,6.5,7.5,6.3,7.5,5.5,7.5,5.6
2389,Lamine Diaby-Fadiga,Raków Częstochowa,MID,2.1,ok,45.0,7.7,5.7,8.1,4.7,7.8,7.2,3.8,8.0
2933,Oliwier Kwiatkowski,Raków Częstochowa,MID,1.6,ok,20.0,7.4,5.4,7.8,4.5,7.5,6.9,3.7,7.7
2941,Élie Youan,Wisła Kraków,MID,1.9,ok,20.0,7.6,4.5,7.9,4.4,4.8,7.9,4.5,7.4
2917,Allahyar Sayyadmanesh,Lech Poznań,MID,2.2,ok,20.0,6.7,5.7,6.6,5.5,6.5,4.8,6.5,4.9
2934,Ádin Molnár,Raków Częstochowa,MID,2.1,ok,20.0,6.8,5.0,7.1,4.2,6.9,6.4,3.5,7.0
1794,Kamil Grosicki,Pogoń Szczecin,MID,2.5,ok,20.0,6.0,4.3,6.8,4.1,6.9,4.7,6.5,6.5
2717,Pablo Rodríguez,Lech Poznań,MID,2.0,ok,85.0,6.5,5.5,6.3,5.3,6.3,4.7,6.3,4.8
2698,Leo Bengtsson,Lech Poznań,MID,2.4,ok,45.0,6.5,5.5,6.3,5.3,6.3,4.7,6.3,4.7
2476,Jonatan Braut Brunes,Raków Częstochowa,FWD,3.1,ok,85.0,6.4,4.9,6.7,4.1,6.5,6.0,3.4,6.6
2430,Jean-Pierre Nsame,Pogoń Szczecin,FWD,2.1,ok,45.0,5.8,4.2,6.6,4.0,6.6,4.6,6.3,6.2
791,Dawid Błanik,Korona Kielce,MID,2.2,ok,85.0,4.1,6.5,6.0,4.2,6.7,4.8,6.8,5.1
765,Jesús Imaz,Jagiellonia Białystok,MID,3.5,ok,85.0,6.6,4.9,6.5,6.7,3.6,4.0,7.1,4.6
1712,Joel Pereira,Lech Poznań,DEF,2.1,ok,85.0,6.7,5.1,6.4,4.8,6.4,3.9,6.4,4.1
2931,Jakub Jendryka,Raków Częstochowa,DEF,1.8,ok,20.0,6.7,4.3,7.2,3.2,6.9,6.1,2.3,7.1
