team,gw,opponent,is_home,date,kickoff_local,status,notes
GKS Katowice,5,Wisła Płock,True,2026-08-22,,scheduled,nan
Górnik Zabrze,5,Raków Częstochowa,False,2026-08-22,,scheduled,nan
Jagiellonia Białystok,5,Lech Poznań,False,2026-08-22,,scheduled,nan
Korona Kielce,5,Motor Lublin,True,2026-08-22,,scheduled,nan
Lech Poznań,5,Jagiellonia Białystok,True,2026-08-22,,scheduled,nan
Legia Warszawa,5,Piast Gliwice,False,2026-08-22,,scheduled,nan
Motor Lublin,5,Korona Kielce,False,2026-08-22,,scheduled,nan
Piast Gliwice,5,Legia Warszawa,True,2026-08-22,,scheduled,nan
Pogoń Szczecin,5,Wisła Kraków,True,2026-08-22,,scheduled,nan
Radomiak Radom,5,Zagłębie Lubin,True,2026-08-22,,scheduled,nan
Raków Częstochowa,5,Górnik Zabrze,True,2026-08-22,,scheduled,nan
Widzew Łódź,5,Śląsk Wrocław,False,2026-08-22,,scheduled,nan
Wieczysta Kraków,5,Cracovia,False,2026-08-22,,scheduled,nan
Wisła Kraków,5,Pogoń Szczecin,False,2026-08-22,,scheduled,nan
Wisła Płock,5,GKS Katowice,False,2026-08-22,,scheduled,nan
Zagłębie Lubin,5,Radomiak Radom,False,2026-08-22,,scheduled,nan
Śląsk Wrocław,5,Widzew Łódź,True,2026-08-22,,scheduled,nan
Cracovia,6,Radomiak Radom,False,2026-08-29,,scheduled,nan
GKS Katowice,6,Górnik Zabrze,False,2026-08-29,,scheduled,nan
Górnik Zabrze,6,GKS Katowice,True,2026-08-29,,scheduled,nan
Jagiellonia Białystok,6,Raków Częstochowa,False,2026-08-29,,scheduled,nan
Korona Kielce,6,Wisła Płock,False,2026-08-29,,scheduled,nan
Lech Poznań,6,Widzew Łódź,False,2026-08-29,,scheduled,nan
Legia Warszawa,6,Śląsk Wrocław,True,2026-08-29,,scheduled,nan
Motor Lublin,6,Piast Gliwice,True,2026-08-29,,scheduled,nan
Piast Gliwice,6,Motor Lublin,False,2026-08-29,,scheduled,nan
Pogoń Szczecin,6,Zagłębie Lubin,False,2026-08-29,,scheduled,nan
Radomiak Radom,6,Cracovia,True,2026-08-29,,scheduled,nan
Raków Częstochowa,6,Jagiellonia Białystok,True,2026-08-29,,scheduled,nan
Widzew Łódź,6,Lech Poznań,True,2026-08-29,,scheduled,nan
Wieczysta Kraków,6,Wisła Kraków,False,2026-08-29,,scheduled,nan
Wisła Kraków,6,Wieczysta Kraków,True,2026-08-29,,scheduled,nan
Wisła Płock,6,Korona Kielce,True,2026-08-29,,scheduled,nan
Zagłębie Lubin,6,Pogoń Szczecin,True,2026-08-29,,scheduled,nan
Śląsk Wrocław,6,Legia Warszawa,False,2026-08-29,,scheduled,nan
Cracovia,7,Górnik Zabrze,True,2026-09-05,,scheduled,nan
GKS Katowice,7,Piast Gliwice,False,2026-09-05,,scheduled,nan
Górnik Zabrze,7,Cracovia,False,2026-09-05,,scheduled,nan
Jagiellonia Białystok,7,Śląsk Wrocław,True,2026-09-05,,scheduled,nan
Korona Kielce,7,Wisła Kraków,True,2026-09-05,,scheduled,nan
Lech Poznań,7,Raków Częstochowa,True,2026-09-05,,scheduled,nan
Legia Warszawa,7,Motor Lublin,False,2026-09-05,,scheduled,nan
Motor Lublin,7,Legia Warszawa,True,2026-09-05,,scheduled,nan
Piast Gliwice,7,GKS Katowice,True,2026-09-05,,scheduled,nan
Pogoń Szczecin,7,Wisła Płock,True,2026-09-05,,scheduled,nan
Radomiak Radom,7,Widzew Łódź,False,2026-09-05,,scheduled,nan
Raków Częstochowa,7,Lech Poznań,False,2026-09-05,,scheduled,nan
Widzew Łódź,7,Radomiak Radom,True,2026-09-05,,scheduled,nan
Wieczysta Kraków,7,Zagłębie Lubin,True,2026-09-05,,scheduled,nan
Wisła Kraków,7,Korona Kielce,False,2026-09-05,,scheduled,nan
Wisła Płock,7,Pogoń Szczecin,False,2026-09-05,,scheduled,nan
Zagłębie Lubin,7,Wieczysta Kraków,False,2026-09-05,,scheduled,nan
Śląsk Wrocław,7,Jagiellonia Białystok,False,2026-09-05,,scheduled,nan
Cracovia,8,Wisła Płock,False,2026-09-12,,scheduled,nan
