player_id,fpl_id,web_name,player_name,pos,price,team_name,appearances,minutes_played,goals,xg,assists,xa,xGI,xGI_per_90,key_passes,shots_total,shots_on_target
557336,,Pankov,Radovan Pankov,MID,,Legia,22,1817,1,1.06,0,0.85,1.91,0.09,7,16,4
876595,2759.0,Markovic,Eman Marković,MID,2.2,GKS Katowice,25,1146,8,4.4,1,1.68,6.08,0.48,12,26,13
792239,1225.0,Grzesik,Jan Grzesik,DEF,2.0,Radomiak,34,2923,7,3.47,5,3.74,7.21,0.22,32,35,12
906963,,Edmundsson,Andrias Edmundsson,MID,,Wisla Plock,18,1620,1,0.78,0,0.4,1.18,0.07,6,15,4
1487195,2126.0,Bogacz,Wiktor Bogacz,FWD,1.6,Cracovia,1,16,0,0.0,0,0.0,0.0,0.0,0,0,0
44938,,Gikiewicz,Rafał Gikiewicz,MID,,Zaglebie Lubin,2,180,0,0.0,0,0.0,0.0,0.0,0,0,0
2184089,2722.0,Minuczyc,Kacper Minuczyc,MID,0.7,Korona Kielce,2,10,0,0.0,0,0.0,0.0,0.0,0,0,0
1499991,,Ziolkowski,Jan Ziółkowski,MID,,Legia,2,135,0,0.12,0,0.06,0.18,0.12,0,3,0
954832,2481.0,Hasic,Ajdin Hasić,MID,2.2,Cracovia,27,2042,7,5.18,5,4.36,9.54,0.42,36,56,18
243693,,Maurides,Maurides,MID,,Radomiak,34,2213,8,7.05,3,4.17,11.22,0.46,30,53,20
931266,992.0,Wisniewski,Przemysław Wiśniewski,DEF,2.0,Widzew Lodz,16,1351,0,0.58,1,0.41,0.99,0.07,5,8,0
965034,2225.0,Alvarez,Fran Álvarez,MID,2.0,Widzew Lodz,31,2404,7,4.84,3,4.5,9.34,0.35,54,55,17
827574,2208.0,Remacle,Martin Remacle,MID,1.8,Korona Kielce,33,2441,3,5.46,1,3.35,8.81,0.32,34,68,13
1031665,2805.0,Hindrich,Ottó Hindrich,GKP,1.9,Legia,13,1165,0,0.0,0,0.08,0.08,0.01,0,0,0
826668,,Josema,Josema,MID,,Gornik Zabrze,31,2658,0,0.77,0,0.72,1.49,0.05,10,17,3
44900,2745.0,Klich,Mateusz Klich,MID,1.8,Cracovia,27,2048,1,1.21,2,5.15,6.36,0.28,47,22,4
966573,2728.0,Rivas,Juande Rivas,DEF,1.8,Piast Gliwice,29,2386,3,3.12,1,1.32,4.44,0.17,10,24,5
1186221,2176.0,Kowalczyk,Mateusz Kowalczyk,MID,1.9,GKS Katowice,28,2196,1,2.4,2,1.47,3.87,0.16,12,34,12
1104297,,Alfarela,Migouel Alfarela,MID,,Legia,4,276,1,1.03,1,0.66,1.69,0.55,2,7,4
1006858,2671.0,Czubak,Karol Czubak,FWD,3.0,Motor Lublin,32,2560,18,14.15,3,1.28,15.43,0.54,15,93,38
979023,,Hilbrycht,Damian Hilbrycht,MID,,Bruk-Bet Termalica Nieciecza,33,2354,5,1.92,5,5.55,7.47,0.29,52,31,11
36922,2280.0,Ulvestad,Fredrik Ulvestad,MID,2.1,Pogon Szczecin,32,2719,5,6.38,3,1.66,8.04,0.27,26,35,13
886909,1757.0,Mrozek,Bartosz Mrozek,GKP,2.2,Lech Poznan,33,2970,0,0.0,0,0.02,0.02,0.0,0,0,0
313014,2384.0,Galan,Borja Galán,DEF,1.9,GKS Katowice,30,2268,3,4.6,3,3.0,7.6,0.3,26,41,15
1101198,1632.0,Kozubal,Antoni Kozubal,MID,2.0,Lech Poznan,32,2542,1,3.29,1,1.72,5.01,0.18,19,36,8
198796,951.0,Jedrych,Arkadiusz Jędrych,DEF,2.3,GKS Katowice,33,2970,6,4.77,0,0.71,5.48,0.17,9,30,14
54429,,Jedrzejczyk,Artur Jędrzejczyk,MID,,Legia,12,516,1,0.39,1,0.49,0.88,0.15,4,7,4
110942,,Milic,Antonio Milić,MID,,Lech Poznan,24,1990,2,1.56,1,1.77,3.33,0.15,10,16,4
1006996,2815.0,Montoia,Guilherme Montóia,DEF,1.8,Jagiellonia,14,918,0,0.1,1,1.22,1.32,0.13,15,3,2
792626,,Plavsic,Srđan Plavšić,MID,,Rakow,2,156,0,0.04,0,0.2,0.24,0.14,3,1,0
155950,2807.0,Acosta,Kellyn Acosta,MID,1.8,Pogon Szczecin,11,789,1,0.36,1,1.18,1.54,0.18,8,8,1
905063,2737.0,Bulat,Marko Bulat,MID,2.0,Rakow,31,1884,4,3.41,3,3.8,7.21,0.34,33,40,15
983515,2761.0,Molnar,Rajmund Molnár,FWD,1.9,Pogon Szczecin,10,741,3,2.87,0,0.92,3.79,0.46,10,28,13
1382908,1926.0,Alves,Roberto Alves,MID,1.8,Radomiak,23,1152,4,2.76,3,2.81,5.57,0.44,29,19,7
608370,2566.0,Pozo,José Pozo,MID,1.8,Pogon Szczecin,19,982,2,1.29,1,1.51,2.8,0.26,15,25,4
345972,87.0,Szymanski,Damian Szymański,MID,1.8,Legia,25,1694,1,0.84,0,3.21,4.05,0.22,18,13,3
1173623,,Wojcik,Oskar Wójcik,MID,,Cracovia,31,2752,0,2.03,0,1.32,3.35,0.11,12,18,4
190663,,Lucic,Luka Lučić,MID,,Zaglebie Lubin,24,1621,0,0.44,1,2.83,3.27,0.18,25,7,2
1513057,,Nowak,Wiktor Nowak,MID,,Wisla Plock,32,2603,4,4.59,1,3.97,8.56,0.3,28,54,15
913214,2810.0,Isaac,Carlos Isaac,DEF,1.8,Widzew Lodz,11,626,1,0.5,0,0.91,1.41,0.2,8,8,2
988276,,Burch,Marco Burch,MID,,Legia,5,450,0,0.83,0,0.13,0.96,0.19,1,5,0
851511,563.0,Wasielewski,Marcin Wasielewski,DEF,2.0,GKS Katowice,33,2937,2,1.32,4,2.94,4.26,0.13,25,31,6
915325,2462.0,Al-Ammari,Amir Al-Ammari,MID,1.8,Cracovia,33,2505,1,1.43,4,3.08,4.51,0.16,30,21,2
959003,,Stojilkovic,Filip Stojilković,MID,,Cracovia,18,1525,7,8.17,2,1.31,9.48,0.56,12,47,15
1002150,,Capita,Capita,MID,,Radomiak,20,1319,6,6.53,1,1.54,8.07,0.55,15,51,21
1066687,2002.0,Borges,Léo Borges,DEF,1.7,Pogon Szczecin,20,1203,0,0.87,1,2.11,2.98,0.22,20,11,5
913575,774.0,Bergier,Sebastian Bergier,FWD,2.4,Widzew Lodz,30,2290,14,9.49,4,2.17,11.66,0.46,25,53,25
338363,,Kurzawa,Rafał Kurzawa,MID,,Bruk-Bet Termalica Nieciecza,24,1072,4,2.26,0,1.9,4.16,0.35,18,25,10
1548929,,Pietuszewski,Oskar Pietuszewski,MID,,Jagiellonia,17,1075,3,2.78,1,1.73,4.51,0.38,13,41,11
357772,,Maigaard,Mikkel Maigaard,MID,,Cracovia,18,1502,1,2.04,2,2.57,4.61,0.28,22,25,4
936874,,Wdowik,Bartłomiej Wdowik,MID,,Jagiellonia,30,2287,0,1.03,4,5.74,6.77,0.27,55,26,7
925880,2100.0,Stojinovic,Dušan Stojinović,DEF,1.7,Jagiellonia,13,1030,0,0.86,1,0.41,1.27,0.11,3,8,2
286091,827.0,Grzybek,Mateusz Grzybek,DEF,1.9,Zaglebie Lubin,14,864,3,2.08,0,0.67,2.75,0.29,8,14,4
259063,,Salvador,Iban Salvador,MID,,Wisla Plock,17,721,2,0.76,0,1.21,1.97,0.25,9,11,3
997532,1455.0,Lawniczak,Aleks Ławniczak,DEF,1.7,Zaglebie Lubin,17,1518,1,1.57,1,0.95,2.52,0.15,7,14,3
998446,,Cirkovic,Aleksandar Ćirković,MID,,KS Lechia Gdansk,24,1689,4,4.37,5,4.98,9.35,0.5,43,35,17
886127,,Pululu,Afimico Pululu,MID,,Jagiellonia,33,2359,15,14.83,5,3.81,18.64,0.71,33,74,32
905345,2662.0,Kobayashi,Yuki Kobayashi,DEF,1.7,Jagiellonia,15,1044,1,0.43,0,0.48,0.91,0.08,1,5,2
286097,799.0,Bochniewicz,Paweł Bochniewicz,DEF,1.8,Gornik Zabrze,8,316,1,0.26,0,0.15,0.41,0.12,0,4,2
2018034,2850.0,Markiewicz,Oskar Markiewicz,DEF,0.7,Radomiak,1,14,0,0.0,0,0.01,0.01,0.06,1,0,0
1005905,,Grobelny,Jędrzej Grobelny,MID,,Arka Gdynia,7,630,0,0.0,0,0.05,0.05,0.01,0,0,0
1158190,2749.0,Arreiol,Henrique Arreiol,MID,1.7,Legia,4,260,0,0.14,0,0.5,0.64,0.22,3,6,1
562194,1332.0,Jirka,Erik Jirka,DEF,1.9,GKS Katowice,31,2186,6,3.49,1,2.66,6.15,0.25,34,38,12
137135,184.0,Wolski,Rafał Wolski,MID,2.2,Radomiak,30,2194,5,3.64,7,5.77,9.41,0.39,48,50,11
971384,2163.0,Pieczek,Marcel Pięczek,DEF,1.8,Korona Kielce,32,2386,4,2.25,2,2.34,4.59,0.17,25,15,8
157429,,Gutkovskis,Vladislavs Gutkovskis,MID,,Arka Gdynia,16,1028,4,4.6,1,0.43,5.03,0.44,4,29,15
1048923,2588.0,Perkovic,Mauro Perković,DEF,1.8,Cracovia,27,2190,4,3.0,1,2.23,5.23,0.21,23,37,16
926007,1675.0,Majchrowicz,Filip Majchrowicz,GKP,1.8,Radomiak,34,3060,0,0.0,1,0.05,0.05,0.0,1,0,0
877978,,Pelmard,Andy Pelmard,MID,,Jagiellonia,18,1390,0,0.09,0,0.32,0.41,0.03,2,4,0
926184,860.0,Dlugosz,Wiktor Długosz,MID,1.8,Korona Kielce,26,2066,3,3.42,3,3.89,7.31,0.32,39,43,8
989355,,Resta,Pau Resta,MID,,Korona Kielce,24,2058,2,2.53,1,0.76,3.29,0.14,6,27,7
940544,,Kubica,Krzysztof Kubica,MID,,Bruk-Bet Termalica Nieciecza,25,1856,5,4.55,1,1.54,6.09,0.3,9,47,16
979393,1168.0,Makuch,Patryk Makuch,FWD,1.9,Rakow,29,1419,4,4.27,1,0.8,5.07,0.32,16,32,14
981527,1169.0,Skrzypczak,Mateusz Skrzypczak,DEF,1.8,Lech Poznan,21,1703,1,0.92,0,1.17,2.09,0.11,9,8,2
539210,,Kasperkiewicz,Arkadiusz Kasperkiewicz,MID,,Bruk-Bet Termalica Nieciecza,29,2278,2,1.84,1,1.44,3.28,0.13,5,15,7
338475,923.0,Augustyniak,Rafał Augustyniak,DEF,1.8,Legia,24,1766,2,2.47,0,1.51,3.98,0.2,11,24,2
2185579,,Kubiak,Oskar Kubiak,MID,,Arka Gdynia,14,952,3,0.96,1,1.29,2.25,0.21,10,15,7
826651,,Navarro,Marc Navarro,MID,,Arka Gdynia,28,1978,2,1.22,4,4.04,5.26,0.24,36,28,6
1405589,2059.0,Kolan,Jakub Kolan,MID,1.7,Zaglebie Lubin,19,1250,1,0.52,1,1.08,1.6,0.12,7,16,6
1020075,,Morishita,Ryoya Morishita,MID,,Legia,4,214,1,0.54,0,0.08,0.62,0.26,1,6,2
1012192,,Szymczak,Filip Szymczak,MID,,Lech Poznan,4,156,1,0.22,0,0.09,0.31,0.18,3,5,1
1009281,,Mosor,Ariel Mosór,MID,,Rakow,11,858,0,0.0,0,0.33,0.33,0.03,1,0,0
