ekstraklasa_id,player_id,web_name,player_name,pos,price,team_name
1341,792659.0,Tudor,Fran Tudor,DEF,1.9,Rakow
1360,,Chodyna,Kacper Chodyna,MID,1.8,Legia
1369,,Pawlak,Aleksander Pawlak,MID,1.4,Wisla Plock
1373,1030308.0,Lederman,Ben Lederman,MID,1.7,Wieczysta
1386,1009281.0,Mosor,Ariel Mosór,DEF,1.8,Korona Kielce
1398,,Sypek,Jakub Sypek,MID,1.8,Zaglebie Lubin
1400,1033201.0,Dziekonski,Xavier Dziekoński,GKP,2.0,Korona Kielce
1401,1022964.0,Szczesniak,Kryspin Szcześniak,DEF,1.7,Radomiak
1403,,Warchol,Damian Warchoł,MID,1.7,Slask Wroclaw
1407,,Sewerys,Radosław Seweryś,DEF,0.7,Korona Kielce
1411,72255.0,Leszczynski,Rafał Leszczyński,GKP,1.8,Wisla Plock
1415,,Jaroch,Bartosz Jaroch,DEF,1.6,Wisla Krakow
1435,,Straczek,Rafał Strączek,GKP,1.9,GKS Katowice
1440,,Lisowski,Wojciech Lisowski,DEF,1.6,Pogon Szczecin
1455,,Lawniczak,Aleks Ławniczak,DEF,1.7,Zaglebie Lubin
1464,984137.0,Szmyt,Kajetan Szmyt,MID,2.1,Jagiellonia
1471,,Lukoszek,Kamil Lukoszek,MID,1.7,Gornik Zabrze
1475,114062.0,Ishak,Mikael Ishak,FWD,4.0,Lech Poznan
1490,,Trelowski,Kacper Trelowski,GKP,1.9,Rakow
1493,95359.0,Szromnik,Michał Szromnik,GKP,1.7,Slask Wroclaw
1494,1031256.0,Duda,Kacper Duda,MID,1.6,Wisla Krakow
1507,910044.0,Zjawinski,Łukasz Zjawiński,FWD,2.1,Legia
1509,,Gradecki,Bartłomiej Gradecki,GKP,1.5,Radomiak
1521,309648.0,Kapustka,Bartosz Kapustka,MID,1.9,Legia
1529,1049444.0,Fornalczyk,Mariusz Fornalczyk,MID,2.0,Widzew Lodz
1540,1020545.0,Wojtuszek,Norbert Wojtuszek,DEF,1.9,Jagiellonia
1561,,Pankiewicz,Szymon Pankiewicz,DEF,0.7,Jagiellonia
1573,110942.0,Milic,Antonio Milić,DEF,1.9,Wieczysta
1578,935966.0,Bieganski,Jan Biegański,MID,1.7,Pogon Szczecin
1580,,Konik,Patryk Konik,DEF,0.7,Legia
1582,1100172.0,Matsenko,Yehor Matsenko,DEF,1.8,Slask Wroclaw
1598,1064080.0,Legowski,Mateusz Łęgowski,MID,1.9,Motor Lublin
1603,,Starzynski,Piotr Starzyński,MID,1.5,Wisla Krakow
1616,315162.0,Zrelak,Adam Zreľák,FWD,1.8,GKS Katowice
1623,,Borowski,Filip Borowski,DEF,1.6,Piast Gliwice
1632,1101198.0,Kozubal,Antoni Kozubal,MID,2.0,Lech Poznan
