,,,,,,,Playing Time,,,,Performance,,,,,,,,Per 90 Minutes,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s?,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK
332,Dion Gallapeni,xk KVX,DF,Widzew ?ód?,20,2004,10,7,652,7.2,1,0,1,1,0,0,4,1,0.14,0,0.14,0.14,0.14
333,Dijon Kameri,at AUT,"MF,FW",Cracovia,21,2004,22,4,647,7.2,2,1,3,2,0,0,1,0,0.28,0.14,0.42,0.28,0.42
334,Matías Nahuel,es ESP,"MF,FW",Jagiellonia,28,1996,16,7,644,7.2,0,1,1,0,0,0,1,0,0,0.14,0.14,0,0.14
335,Damian Rasak,pl POL,MF,Katowice,29,1996,14,5,647,7.2,0,0,0,0,0,0,2,0,0,0,0,0,0
336,Christopher Cheng,no NOR,"DF,MF",Widzew ?ód?,23,2001,9,8,643,7.1,0,0,0,0,0,0,0,0,0,0,0,0,0
337,Matchoi Djaló,pt POR,"MF,FW",Wis?a P?ock,22,2003,18,6,639,7.1,0,1,1,0,0,0,0,0,0,0.14,0.14,0,0.14
338,Simon Gustafson,se SWE,MF,Korona Kielce,30,1995,14,6,641,7.1,0,0,0,0,0,0,1,0,0,0,0,0,0
339,Mi?osz Matysik,pl POL,DF,Nieciecza,21,2004,11,9,637,7.1,0,0,0,0,0,0,2,0,0,0,0,0,0
340,Tomás Tavares,pt POR,MF,Wis?a P?ock,24,2001,13,7,638,7.1,0,0,0,0,0,0,1,0,0,0,0,0,0
341,J?drzej Grobelny,pl POL,GK,Arka Gdynia,24,2001,7,7,630,7,0,0,0,0,0,0,1,0,0,0,0,0,0
342,Matúš Kme?,sk SVK,"DF,MF",Górnik Zabrze,25,2000,13,7,632,7,0,0,0,0,0,0,0,0,0,0,0,0,0
343,Alvis Jaunzems,lv LVA,DF,Lechia Gda?sk,26,1999,9,7,621,6.9,0,1,1,0,0,0,0,0,0,0.14,0.14,0,0.14
344,Kahveh Zahiroleslam,us USA,FW,Cracovia,23,2002,23,6,622,6.9,3,0,3,3,0,0,1,0,0.43,0,0.43,0.43,0.43
345,Carlos Isaac,es ESP,DF,Widzew ?ód?,27,1998,11,7,610,6.8,1,0,1,1,0,0,2,0,0.15,0,0.15,0.15,0.15
346,Mathieu Scalet,fr FRA,MF,Motor Lublin,28,1997,20,4,612,6.8,2,0,2,2,0,0,2,0,0.29,0,0.29,0.29,0.29
347,Yannick Agnero,ci CIV,FW,Lech Pozna?,22,2003,27,4,603,6.7,3,0,3,3,0,0,1,0,0.45,0,0.45,0.45,0.45
348,Adrian B??d,pl POL,FW,Katowice,34,1991,21,6,607,6.7,0,0,0,0,0,0,2,0,0,0,0,0,0
349,Bright Ede,pl POL,DF,Motor Lublin,18,2007,11,7,600,6.7,0,0,0,0,0,0,7,0,0,0,0,0,0
350,Sergio Lozano,es ESP,MF,Jagiellonia,26,1999,14,8,607,6.7,3,2,5,3,0,0,0,0,0.44,0.3,0.74,0.44,0.74
351,João Moutinho,pt POR,DF,Lech Pozna?,27,1998,12,7,600,6.7,0,0,0,0,0,0,4,0,0,0,0,0,0
352,Kyriakos Savvidis,gr GRE,MF,Wis?a P?ock,30,1995,8,8,575,6.4,1,0,1,1,0,0,1,0,0.16,0,0.16,0.16,0.16
353,Taofeek Ismaheel,ng NGA,MF,Górnik Zabrze,25,2000,7,7,559,6.2,0,1,1,0,0,0,1,0,0,0.16,0.16,0,0.16
354,Jean-Pierre Nsame,cm CMR,FW,Legia Warsaw,32,1993,10,7,562,6.2,5,0,5,4,1,1,0,0,0.8,0,0.8,0.64,0.64
355,Ond?ej Zmrzlý,cz CZE,"FW,DF",Górnik Zabrze,26,1999,10,5,559,6.2,0,1,1,0,0,0,0,0,0,0.16,0.16,0,0.16
356,Karol Angielski,pl POL,FW,Pogo? Szczecin,29,1996,11,7,549,6.1,1,0,1,1,0,0,0,0,0.16,0,0.16,0.16,0.16
357,Adrián Dalmau,es ESP,FW,Piast Gliwice,31,1994,16,5,550,6.1,2,0,2,2,0,0,1,1,0.33,0,0.33,0.33,0.33
358,Mateusz Dziewiatowski,pl POL,"MF,FW",Zag??bie Lubin,18,2007,15,8,550,6.1,1,0,1,1,0,0,3,0,0.16,0,0.16,0.16,0.16
359,Karol Knap,pl POL,"MF,DF",Cracovia,23,2001,16,5,548,6.1,0,1,1,0,0,0,3,1,0,0.16,0.16,0,0.16
360,Natan Lawa,pl POL,"MF,FW",Pogo? Szczecin,16,2009,10,6,552,6.1,0,0,0,0,0,0,1,0,0,0,0,0,0
361,Kamil Lukoszek,pl POL,"MF,FW",Górnik Zabrze,23,2002,18,4,548,6.1,1,1,2,1,0,0,0,0,0.16,0.16,0.33,0.16,0.33
362,Dominik Holec,sk SVK,GK,Piast Gliwice,31,1994,6,6,540,6,0,0,0,0,0,0,0,0,0,0,0,0,0
363,Hussein Ali,iq IRQ,DF,Pogo? Szczecin,23,2002,16,6,520,5.8,2,0,2,2,0,0,7,1,0.35,0,0.35,0.35,0.35
364,Ivan Durdov,hr CRO,FW,Nieciecza,25,2000,16,6,523,5.8,3,1,4,3,0,0,0,0,0.52,0.17,0.69,0.52,0.69
365,Jime,es ESP,"MF,FW",Wis?a P?ock,26,1999,9,6,524,5.8,1,2,3,1,0,0,1,0,0.17,0.34,0.52,0.17,0.52
366,Tomasz Makowski,pl POL,MF,Zag??bie Lubin,26,1999,13,4,512,5.7,0,1,1,0,0,0,0,0,0,0.18,0.18,0,0.18
367,Leonardo Rocha,pt POR,FW,Raków,28,1997,18,5,509,5.7,2,0,2,2,0,0,1,0,0.35,0,0.35,0.35,0.35
368,Gísli Þórðarson,is ISL,MF,Lech Pozna?,20,2004,13,5,513,5.7,2,2,4,2,0,0,1,0,0.35,0.35,0.7,0.35,0.7
369,Alex Douglas,se SWE,DF,Lech Pozna?,23,2001,7,6,500,5.6,0,0,0,0,0,0,0,0,0,0,0,0,0
370,Artur J?drzejczyk,pl POL,DF,Legia Warsaw,37,1987,12,5,504,5.6,1,1,2,1,0,0,1,0,0.18,0.18,0.36,0.18,0.36
371,Davíð Ólafsson,is ISL,"MF,DF",Cracovia,30,1995,7,6,506,5.6,0,0,0,0,0,0,3,0,0,0,0,0,0
372,Luis Perea,es ESP,MF,Arka Gdynia,27,1997,19,5,500,5.6,1,1,2,1,0,0,3,0,0.18,0.18,0.36,0.18,0.36
373,Elias Olsson,se SWE,DF,Lechia Gda?sk,22,2003,8,5,493,5.5,0,0,0,0,0,0,2,0,0,0,0,0,0
374,Osman Bukari,gh GHA,MF,Widzew ?ód?,26,1998,8,5,484,5.4,0,0,0,0,0,0,0,0,0,0,0,0,0
375,Viktor Popov,bg BUL,"MF,DF",Korona Kielce,25,2000,8,6,485,5.4,0,0,0,0,0,0,0,0,0,0,0,0,0
376,João Oliveira,ch SUI,"FW,MF",Arka Gdynia,29,1996,14,6,476,5.3,0,0,0,0,0,0,0,0,0,0,0,0,0
377,Bart?omiej Paw?owski,pl POL,"MF,FW",Widzew ?ód?,32,1992,19,5,480,5.3,1,1,2,0,1,1,1,0,0.19,0.19,0.37,0,0.19
378,Renat Dada?ov,az AZE,FW,Motor Lublin,26,1999,21,2,468,5.2,0,0,0,0,0,0,4,0,0,0,0,0,0
379,Maxime Dominguez,ch SUI,MF,Cracovia,29,1996,13,5,469,5.2,0,0,0,0,0,0,0,0,0,0,0,0,0
380,Roberto Massimo,de GER,"MF,FW",Górnik Zabrze,24,2000,12,5,470,5.2,0,0,0,0,0,0,0,0,0,0,0,0,0
381,Marco Burch,ch SUI,"MF,DF",Legia Warsaw,24,2000,5,5,450,5,0,0,0,0,0,0,0,0,0,0,0,0,0
382,Pawe? Dawidowicz,pl POL,DF,Raków,30,1995,10,4,449,5,0,0,0,0,0,0,0,0,0,0,0,0,0
383,Josh Wilson-Esbrand,eng ENG,DF,Radomiak,22,2002,8,6,447,5,0,1,1,0,0,0,0,0,0,0.2,0.2,0,0.2
384,Peter Therkildsen,dk DEN,DF,Widzew ?ód?,27,1998,8,5,430,4.8,1,2,3,1,0,0,0,0,0.21,0.42,0.63,0.21,0.63
385,Jesús Díaz,co COL,MF,Zag??bie Lubin,26,1999,11,4,420,4.7,1,2,3,1,0,0,0,0,0.21,0.43,0.64,0.21,0.64
386,Wojciech Kami?ski,pl POL,"MF,DF",Korona Kielce,24,2001,10,4,419,4.7,0,0,0,0,0,0,0,0,0,0,0,0,0
387,Louka Prip,dk DEN,"MF,FW",Jagiellonia,28,1997,8,7,425,4.7,0,1,1,0,0,0,0,0,0,0.21,0.21,0,0.21
388,Dimitris Rallis,gr GRE,FW,Jagiellonia,20,2005,15,5,410,4.6,3,0,3,3,0,0,0,0,0.66,0,0.66,0.66,0.66
389,Samed Baždar,ba BIH,"FW,MF",Jagiellonia,21,2004,15,3,406,4.5,3,0,3,3,0,0,0,0,0.67,0,0.67,0.67,0.67
390,Claude Gonçalves,pt POR,MF,Legia Warsaw,31,1994,7,5,405,4.5,0,1,1,0,0,0,1,0,0,0.22,0.22,0,0.22
391,Nikodem Niski,pl POL,FW,Korona Kielce,23,2002,19,2,408,4.5,0,2,2,0,0,0,2,0,0,0.44,0.44,0,0.44
392,Jakub Budnicki,pl POL,DF,Korona Kielce,24,2001,6,5,380,4.2,0,0,0,0,0,0,4,1,0,0,0,0,0
393,Kornel Lisman,pl POL,MF,Lech Pozna?,19,2006,13,4,374,4.2,0,1,1,0,0,0,0,0,0,0.24,0.24,0,0.24
394,Benjamin Mendy,fr FRA,DF,Pogo? Szczecin,31,1994,11,4,375,4.2,0,0,0,0,0,0,4,0,0,0,0,0,0
395,Imad Rondi?,ba BIH,FW,Raków,26,1999,12,4,377,4.2,0,0,0,0,0,0,4,0,0,0,0,0,0
396,Micha? Rzuchowski,pl POL,MF,Arka Gdynia,31,1993,9,3,378,4.2,0,0,0,0,0,0,1,0,0,0,0,0,0
397,Mateusz Wdowiak,pl POL,MF,Zag??bie Lubin,28,1996,11,3,378,4.2,0,0,0,0,0,0,1,0,0,0,0,0,0
398,Sebastian Kowalczyk,pl POL,MF,Zag??bie Lubin,26,1998,9,5,372,4.1,0,0,0,0,0,0,1,0,0,0,0,0,0
399,Bart?omiej K?udka,pl POL,DF,Zag??bie Lubin,23,2002,5,4,372,4.1,1,0,1,1,0,0,0,0,0.24,0,0.24,0.24,0.24
400,Kacper Smoli?ski,pl POL,MF,Pogo? Szczecin,24,2001,12,4,371,4.1,0,0,0,0,0,0,0,0,0,0,0,0,0
401,Mi?osz Piekutowski,pl POL,GK,Jagiellonia,19,2006,4,4,360,4,0,0,0,0,0,0,0,0,0,0,0,0,0
402,Henrich Ravas,sk SVK,GK,Cracovia,27,1997,4,4,360,4,0,0,0,0,0,0,0,0,0,0,0,0,0
403,Karol Szyma?ski,pl POL,GK,Piast Gliwice,32,1993,4,4,360,4,0,0,0,0,0,0,1,0,0,0,0,0,0
404,Saïd Hamulic,ba BIH,FW,Wis?a P?ock,24,2000,7,5,354,3.9,0,0,0,0,0,0,0,0,0,0,0,0,0
405,Wojciech Jakubik,pl POL,"MF,FW",Nieciecza,20,2005,23,2,341,3.8,0,1,1,0,0,0,2,0,0,0.26,0.26,0,0.26
406,Marius Olsen,no NOR,DF,Katowice,24,2001,4,4,345,3.8,0,0,0,0,0,0,1,0,0,0,0,0,0
407,Tolis Konstantopoulos,gr GRE,DF,Jagiellonia,22,2002,7,3,330,3.7,0,0,0,0,0,0,3,0,0,0,0,0,0
408,Efthimis Koulouris,gr GRE,FW,Pogo? Szczecin,29,1996,4,4,333,3.7,3,0,3,3,0,1,0,0,0.81,0,0.81,0.81,0.81
409,Bojan Nasti?,ba BIH,"MF,DF",Wis?a P?ock,31,1994,9,4,337,3.7,0,0,0,0,0,0,1,0,0,0,0,0,0
410,Maciej Roso?ek,pl POL,FW,Katowice,23,2001,8,4,333,3.7,0,0,0,0,0,0,1,0,0,0,0,0,0
411,Pawe? Bochniewicz,pl POL,DF,Górnik Zabrze,29,1996,8,3,320,3.6,1,0,1,1,0,0,0,0,0.28,0,0.28,0.28,0.28
412,Krystian Palacz,pl POL,DF,Motor Lublin,22,2003,6,4,313,3.5,0,1,1,0,0,0,1,0,0,0.29,0.29,0,0.29
413,Goh Youngjun,kr KOR,MF,Górnik Zabrze,24,2001,9,3,311,3.5,0,2,2,0,0,0,0,0,0,0.58,0.58,0,0.58
414,Bruno Jordão,pt POR,MF,Radomiak,26,1998,4,4,302,3.4,0,2,2,0,0,0,2,0,0,0.6,0.6,0,0.6
415,Marcel Predenkiewicz,pl POL,FW,Arka Gdynia,21,2004,12,1,304,3.4,0,0,0,0,0,0,0,0,0,0,0,0,0
416,Krzysztof Kami?ski,pl POL,GK,Pogo? Szczecin,34,1990,4,3,285,3.2,0,0,0,0,0,0,0,1,0,0,0,0,0
417,Mi?osz Ka?ahur,pl POL,DF,Lechia Gda?sk,26,1999,6,3,285,3.2,0,0,0,0,0,0,2,1,0,0,0,0,0
418,Grzegorz Rogala,pl POL,DF,Katowice,29,1995,6,2,287,3.2,0,0,0,0,0,0,0,0,0,0,0,0,0
419,Salifou Soumah,gn GUI,FW,Radomiak,21,2003,12,0,291,3.2,1,0,1,1,0,0,0,0,0.31,0,0.31,0.31,0.31
420,Brandon Domingues,fr FRA,"MF,FW",Górnik Zabrze,25,2000,5,4,282,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0
421,Percan,es ESP,FW,Arka Gdynia,23,2001,9,3,283,3.1,0,1,1,0,0,0,2,0,0,0.32,0.32,0,0.32
422,Lukas Podolski,de GER,MF,Górnik Zabrze,40,1985,16,1,281,3.1,0,0,0,0,0,0,3,1,0,0,0,0,0
423,Migouel Alfarela,fr FRA,FW,Legia Warsaw,27,1997,4,4,273,3,1,1,2,1,0,0,0,0,0.33,0.33,0.66,0.33,0.66
424,Mateusz Cichocki,pl POL,DF,Radomiak,33,1992,5,2,273,3,0,0,0,0,0,0,1,0,0,0,0,0,0
425,Antonio ?olak,hr CRO,FW,Legia Warsaw,31,1993,13,3,274,3,3,0,3,3,0,0,1,0,0.99,0,0.99,0.99,0.99
426,Bryan Fiabema,no NOR,"MF,FW",Lech Pozna?,22,2003,10,2,272,3,2,0,2,2,0,0,1,0,0.66,0,0.66,0.66,0.66
427,Theodoros Tsirigotis,gr GRE,FW,Górnik Zabrze,25,2000,6,3,271,3,0,1,1,0,0,0,0,0,0,0.33,0.33,0,0.33
428,Jakub ?ew?akow,pl POL,FW,Legia Warsaw,18,2006,10,2,270,3,0,0,0,0,0,0,1,0,0,0,0,0,0
429,Henrique Arreiol,pt POR,MF,Legia Warsaw,20,2005,4,3,258,2.9,0,0,0,0,0,0,0,0,0,0,0,0,0
430,Noah Weißhaupt,de GER,"FW,MF",Legia Warsaw,23,2001,7,3,264,2.9,0,0,0,0,0,0,0,0,0,0,0,0,0
431,Konrad Ciszek,pl POL,"MF,DF",Korona Kielce,17,2007,5,2,250,2.8,0,0,0,0,0,0,1,0,0,0,0,0,0
432,Krystian Pomorski,pl POL,MF,Wis?a P?ock,29,1995,18,2,256,2.8,0,0,0,0,0,0,0,0,0,0,0,0,0
433,Ibrahima Seck,sn SEN,MF,Raków,21,2004,6,2,252,2.8,0,1,1,0,0,0,1,0,0,0.36,0.36,0,0.36
434,Daniel Håkans,fi FIN,MF,Lech Pozna?,24,2000,9,0,240,2.7,1,0,1,1,0,0,0,0,0.37,0,0.37,0.37,0.37
435,Hide Vitalucci,jp JPN,"MF,FW",Arka Gdynia,23,2002,6,2,239,2.7,0,0,0,0,0,0,0,0,0,0,0,0,0
436,Andreas Katsantonis,cy CYP,FW,Piast Gliwice,25,2000,13,1,235,2.6,1,0,1,1,0,0,1,0,0.38,0,0.38,0.38,0.38
437,Kacper Karasek,pl POL,MF,Motor Lublin,23,2002,14,1,224,2.5,1,0,1,1,0,0,1,1,0.4,0,0.4,0.4,0.4
438,Thomas Santos,dk DEN,DF,Motor Lublin,26,1998,7,1,222,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0
439,Dominik Sarapata,pl POL,MF,Wis?a P?ock,17,2007,7,2,229,2.5,0,0,0,0,0,0,1,0,0,0,0,0,0
440,Anton Tsarenko,ua UKR,MF,Lechia Gda?sk,21,2004,7,1,222,2.5,0,1,1,0,0,0,0,0,0,0.41,0.41,0,0.41
441,Isak Brusberg,se SWE,FW,Raków,18,2006,7,4,216,2.4,0,0,0,0,0,0,1,0,0,0,0,0,0
442,Paskal Meyer,de GER,DF,Motor Lublin,20,2005,5,2,220,2.4,0,0,0,0,0,0,1,0,0,0,0,0,0
443,Ryoya Morishita,jp JPN,MF,Legia Warsaw,28,1997,4,3,212,2.4,1,0,1,1,0,0,1,0,0.42,0,0.42,0.42,0.42
444,Kacper Kostorz,pl POL,FW,Pogo? Szczecin,25,1999,10,2,205,2.3,0,0,0,0,0,0,1,0,0,0,0,0,0
445,Luka Zahovi?,si SVN,MF,Górnik Zabrze,29,1995,6,1,205,2.3,1,0,1,1,0,0,0,0,0.44,0,0.44,0.44,0.44
446,Mohamed Awad Alla,ae UAE,FW,Lechia Gda?sk,23,2002,8,0,202,2.2,1,0,1,1,0,0,2,0,0.45,0,0.45,0.45,0.45
447,Bastien Donio,fr FRA,MF,Górnik Zabrze,19,2005,9,2,197,2.2,0,0,0,0,0,0,1,0,0,0,0,0,0
448,Florent Batoum,cm CMR,FW,Cracovia,23,2002,6,2,188,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0
449,Marcin Cebula,pl POL,MF,Korona Kielce,29,1995,8,1,190,2.1,0,0,0,0,0,0,1,0,0,0,0,0,0
450,Mateusz Tabisz,pl POL,MF,Cracovia,17,2007,8,1,185,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0
451,Milan Aleksi?,rs SRB,FW,Cracovia,19,2005,6,1,184,2,0,0,0,0,0,0,0,0,0,0,0,0,0
452,Dominik Biniek,pl POL,MF,Nieciecza,20,2004,10,1,184,2,0,0,0,0,0,0,2,0,0,0,0,0,0
453,Depú,ao ANG,FW,Radomiak,25,2000,9,1,180,2,1,0,1,1,0,0,0,0,0.5,0,0.5,0.5,0.5
454,Rafa? Gikiewicz,pl POL,GK,Widzew ?ód?,37,1987,2,2,180,2,0,0,0,0,0,0,0,0,0,0,0,0,0
455,Eryk Kozlowski,pl POL,MF,Jagiellonia,18,2006,5,2,182,2,0,0,0,0,0,0,1,0,0,0,0,0,0
456,Jan Leszczy?ski,pl POL,DF,Legia Warsaw,18,2007,4,3,182,2,0,0,0,0,0,0,1,0,0,0,0,0,0
457,Borislav Rupanov,bg BUL,FW,Górnik Zabrze,20,2004,6,1,174,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0
458,Jesús Díaz,co COL,MF,Raków,26,1999,3,2,164,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0
459,Tomasz Mokwa,pl POL,DF,Piast Gliwice,32,1993,4,1,162,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0
460,Gabriel Charpentier,cg CGO,FW,Cracovia,26,1999,7,1,156,1.7,2,1,3,2,0,0,0,0,1.15,0.58,1.73,1.15,1.73
461,Konrad Gruszkowski,pl POL,MF,Katowice,24,2001,8,1,156,1.7,0,0,0,0,0,0,1,0,0,0,0,0,0
462,Maksymilian Pingot,pl POL,DF,Górnik Zabrze,22,2003,8,1,154,1.7,0,0,0,0,0,0,1,0,0,0,0,0,0
463,Sr?an Plavši?,rs SRB,MF,Raków,29,1995,2,2,155,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0
464,Szymon Sobczak,pl POL,FW,Arka Gdynia,32,1992,8,1,149,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0
465,Filip Szymczak,pl POL,MF,Lech Pozna?,23,2002,4,2,157,1.7,1,0,1,1,0,0,1,0,0.57,0,0.57,0.57,0.57
466,Aleksandre Kalandadze,ge GEO,DF,Wis?a P?ock,24,2001,8,1,143,1.6,0,0,0,0,0,0,1,0,0,0,0,0,0
467,Eric Ouma,ke KEN,MF,Raków,28,1996,4,1,141,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0
468,Micha? G?ogowski,pl POL,FW,Lechia Gda?sk,19,2005,10,0,137,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0
469,Aziel Jackson,us USA,MF,Jagiellonia,23,2001,6,1,133,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0
470,Jan Zió?kowski,pl POL,DF,Legia Warsaw,20,2005,2,1,135,1.5,0,0,0,0,0,0,1,0,0,0,0,0,0
471,Tomasz Loska,pl POL,GK,Górnik Zabrze,29,1996,2,1,124,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0
472,Beno Selan,si SVN,MF,Cracovia,20,2005,6,1,127,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0
473,Tonio Tekli?,hr CRO,MF,Widzew ?ód?,25,1999,8,0,127,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0
474,Aleksander Buksa,pl POL,FW,Katowice,22,2003,4,0,113,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0
475,Elton Fikaj,al ALB,DF,Piast Gliwice,19,2005,3,1,121,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0
476,Marin Karamarko,hr CRO,DF,Wis?a P?ock,27,1998,3,1,113,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0
477,Micha? Rakoczy,pl POL,MF,Górnik Zabrze,23,2002,5,1,113,1.3,1,1,2,1,0,0,0,0,0.8,0.8,1.59,0.8,1.59
478,Jacek Czapli?ski,pl POL,MF,Pogo? Szczecin,18,2006,5,1,105,1.2,0,1,1,0,0,0,0,0,0,0.86,0.86,0,0.86
479,Fabian Hiszpa?ski,pl POL,MF,Wis?a P?ock,31,1993,7,1,107,1.2,0,0,0,0,0,0,2,0,0,0,0,0,0
480,Samuel Ková?ik,sk SVK,FW,Legia Warsaw,18,2007,4,0,106,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0
481,Youssuf Sylla,be BEL,FW,Jagiellonia,22,2002,6,1,107,1.2,1,0,1,1,0,0,1,0,0.84,0,0.84,0.84,0.84
482,Natan Dziegielewski,pl POL,MF,Górnik Zabrze,20,2004,8,0,95,1.1,0,0,0,0,0,0,1,0,0,0,0,0,0
483,Marek Hanousek,cz CZE,MF,Widzew ?ód?,33,1991,9,1,100,1.1,0,0,0,0,0,0,2,0,0,0,0,0,0
484,Florian Haxha,xk KVX,MF,Motor Lublin,23,2002,7,0,102,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0
485,Mitja Ileni?,si SVN,MF,Raków,20,2004,5,1,102,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0
486,Bogdan Mir?eti?,rs SRB,FW,Raków,19,2005,4,1,99,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0
487,Patryk Paryzek,pl POL,FW,Pogo? Szczecin,19,2006,4,1,99,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0
488,Plamen Andreev,bg BUL,GK,Lech Pozna?,20,2004,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0
489,Jakub Burek,pl POL,GK,Wis?a P?ock,22,2003,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0
490,Álex Cantero,es ESP,"FW,MF",Jagiellonia,25,2000,7,0,92,1,0,0,0,0,0,0,1,0,0,0,0,0,0
491,Jakub Ligocki,pl POL,MF,Zag??bie Lubin,17,2008,3,1,92,1,0,0,0,0,0,0,0,0,0,0,0,0,0
492,Aleksander Paluszek,pl POL,DF,Katowice,24,2001,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0
493,Bohdan Sarnavskyi,ua UKR,GK,Lechia Gda?sk,30,1995,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0
494,Vladyslav Kocherhin,ua UKR,MF,Raków,29,1996,3,0,85,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0
495,Ilya Shkurin,by BLR,FW,Legia Warsaw,25,1999,3,1,82,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0
496,Milosz Strzebonski,pl POL,MF,Korona Kielce,21,2003,7,0,81,0.9,0,0,0,0,0,0,1,0,0,0,0,0,0
497,Pape Ba,sn SEN,FW,Widzew ?ód?,28,1997,4,1,72,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0
498,Jakub Lis,pl POL,DF,Pogo? Szczecin,23,2002,3,0,74,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0
499,Jakub Kokosi?ski,pl POL,FW,Katowice,18,2007,6,0,60,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0
