,,,,,,,Playing Time,,,,Performance,,,,,,,,Per 90 Minutes,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s?,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK
194,Tomasz Pie?ko,pl POL,"MF,FW",Raków,21,2004,26,15,"1,384",15.4,2,2,4,2,0,0,0,0,0.13,0.13,0.26,0.13,0.26
195,Baena,es ESP,"MF,FW",Widzew ?ód?,24,2000,29,13,"1,351",15,2,1,3,2,0,0,5,0,0.13,0.07,0.2,0.13,0.2
196,Bart?omiej Dr?gowski,pl POL,GK,Widzew ?ód?,27,1997,15,15,"1,350",15,0,0,0,0,0,0,2,0,0,0,0,0,0
197,Przemys?aw Wi?niewski,pl POL,DF,Widzew ?ód?,27,1998,16,15,"1,351",15,0,1,1,0,0,0,3,0,0,0.07,0.07,0,0.07
198,Erik Jirka,sk SVK,"MF,FW",Piast Gliwice,27,1997,17,15,"1,341",14.9,5,0,5,4,1,1,3,0,0.34,0,0.34,0.27,0.27
199,Stelios Andreou,cy CYP,DF,Widzew ?ód?,23,2002,18,15,"1,313",14.6,0,0,0,0,0,0,2,0,0,0,0,0,0
200,Capita,ao ANG,MF,Radomiak,23,2002,20,17,"1,311",14.6,6,1,7,6,0,0,3,0,0.41,0.07,0.48,0.41,0.48
201,Igor Orlikowski,pl POL,DF,Zag??bie Lubin,19,2006,19,15,"1,310",14.6,0,1,1,0,0,0,3,1,0,0.07,0.07,0,0.07
202,Stjepan Davidovi?,hr CRO,"FW,MF",Korona Kielce,20,2005,29,12,"1,294",14.4,2,1,3,2,0,0,1,0,0.14,0.07,0.21,0.14,0.21
203,Luquinhas,br BRA,MF,Radomiak,28,1996,16,15,"1,299",14.4,1,0,1,1,0,0,4,0,0.07,0,0.07,0.07,0.07
204,Romário Baró,pt POR,MF,Radomiak,25,2000,25,15,"1,286",14.3,2,0,2,2,0,0,3,0,0.14,0,0.14,0.14,0.14
